"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"Rifians in Europe. Until now, we don't know how many Rifians are living in Europe, because they are registered as  moroccans.","Irifiyen d Uruppa.Ar lux, wer nessin ca mecḥal i yellan d Irifiyen izeddɣen deg Uruppa. Minzi tteḥsaben-ten aked Imeɣrabiyen.","Other","Iⵔⵉⴼⵉⵢⴻⵏ ⴷ Uⵔⵓⵒⵒⴰ.Aⵔ ⵍⵓx, ⵡⴻⵔ ⵏⴻⵙⵙⵉⵏ cⴰ ⵎⴻcⵃⴰⵍ ⵉ ⵢⴻⵍⵍⴰⵏ ⴷ Iⵔⵉⴼⵉⵢⴻⵏ ⵉⵣⴻⴷⴷⵖⴻⵏ ⴷⴻⴴ Uⵔⵓⵒⵒⴰ. Mⵉⵏⵣⵉ ⵝⵝⴻⵃⵙⴰⴲⴻⵏ-ⵝⴻⵏ ⴰⴿⴻⴷ Iⵎⴻⵖⵔⴰⴲⵉⵢⴻⵏ.","Irifiyen d Uruppa.Ar lux, wer nessin ca mecḥal i yellan d Irifiyen izeddɣen deg Uruppa. Minzi tteḥsaben-ten aked Imeɣrabiyen.","Irifiyen d Uruppa.Ar lux, wer nessin ca mecḥal i yellan d Irifiyen izeddغen deg Uruppa. Minzi tteḥsaben-ten aked Imeغrabiyen."
"Rifians and Melilla Now, we need to talk about Rifians in Melilla, who are between 30 000 to 40 000 people. Which means between 40% and 50% of the entire population of Melilla.","Irifiyen d Mlilet. Luxa yeqqim a nessiwel x Irifiyen n Mlilet i yetteggen jar 30 000 ar 40 000 n yewdan. Ittsemma jar 40% ar 50% zeg imezdaɣ n Mlilet.","Other","Iⵔⵉⴼⵉⵢⴻⵏ ⴷ Mⵍⵉⵍⴻⵝ. Lⵓxⴰ ⵢⴻⵇⵇⵉⵎ ⴰ ⵏⴻⵙⵙⵉⵡⴻⵍ x Iⵔⵉⴼⵉⵢⴻⵏ ⵏ Mⵍⵉⵍⴻⵝ ⵉ ⵢⴻⵝⵝⴻⴴⴴⴻⵏ ⵊⴰⵔ ⵄ0 000 ⴰⵔ 40 000 ⵏ ⵢⴻⵡⴷⴰⵏ. Iⵝⵝⵙⴻⵎⵎⴰ ⵊⴰⵔ 40% ⴰⵔ 50% ⵣⴻⴴ ⵉⵎⴻⵣⴷⴰⵖ ⵏ Mⵍⵉⵍⴻⵝ.","Irifiyen d Mlilet. Luxa yeqqim a nessiwel x Irifiyen n Mlilet i yetteggen jar 30 000 ar 40 000 n yewdan. Ittsemma jar 40% ar 50% zeg imezdaɣ n Mlilet.","Irifiyen d Mlilet. Luxa yeqqim a nessiwel x Irifiyen n Mlilet i yetteggen jar 30 000 ar 40 000 n yewdan. Ittsemma jar 40% ar 50% zeg imezdaغ n Mlilet."
"In reality, Rifians of Melilla now have the Spanish passport, but that was not the case in the past. They were not considered being Spanish even though they were born there. In the year 1986, Omar Muhemmadi Duduh started a protest against the government of Felipe Gonzalez because of the situation of Rifians in Melilla.","S tidett, Irifiyen di Mlilet lux ɛelmen ljinsiya Taspanyut, maca qbel ila wer ɣer-sen telli. Ttuɣa wer x-asen ttḥsiben ca d Ispunya waxxa lulen din. Deg useggʷas n 1986, isnekker Ɛumar Muḥemmadi Duduḥ ijjen ɣewweɣ x lḥakem Felipe Gonzalez alaḥsab lḥal n Irifiyen di Mlilet.","Other","S ⵝⵉⴷⴻⵝⵝ, Iⵔⵉⴼⵉⵢⴻⵏ ⴷⵉ Mⵍⵉⵍⴻⵝ ⵍⵓx ɛⴻⵍⵎⴻⵏ ⵍⵊⵉⵏⵙⵉⵢⴰ Tⴰⵙⵒⴰⵏⵢⵓⵝ, ⵎⴰcⴰ ⵇⴲⴻⵍ ⵉⵍⴰ ⵡⴻⵔ ⵖⴻⵔ-ⵙⴻⵏ ⵝⴻⵍⵍⵉ. Tⵝⵓⵖⴰ ⵡⴻⵔ x-ⴰⵙⴻⵏ ⵝⵝⵃⵙⵉⴲⴻⵏ cⴰ ⴷ Iⵙⵒⵓⵏⵢⴰ ⵡⴰxxⴰ ⵍⵓⵍⴻⵏ ⴷⵉⵏ. Dⴻⴴ ⵓⵙⴻⴴⴴʷⴰⵙ ⵏ 1986, ⵉⵙⵏⴻⴿⴿⴻⵔ Ɛⵓⵎⴰⵔ Mⵓⵃⴻⵎⵎⴰⴷⵉ Dⵓⴷⵓⵃ ⵉⵊⵊⴻⵏ ⵖⴻⵡⵡⴻⵖ x ⵍⵃⴰⴿⴻⵎ Fⴻⵍⵉⵒⴻ Goⵏⵣⴰⵍⴻⵣ ⴰⵍⴰⵃⵙⴰⴲ ⵍⵃⴰⵍ ⵏ Iⵔⵉⴼⵉⵢⴻⵏ ⴷⵉ Mⵍⵉⵍⴻⵝ.","S tidett, Irifiyen di Mlilet lux ɛelmen ljinsiya Taspanyut, maca qbel ila wer ɣer-sen telli. Ttuɣa wer x-asen ttḥsiben ca d Ispunya waxxa lulen din. Deg useggʷas n 1986, isnekker Ɛumar Muḥemmadi Duduḥ ijjen ɣewweɣ x lḥakem Felipe Gonzalez alaḥsab lḥal n Irifiyen di Mlilet.","S tidett, Irifiyen di Mlilet lux ɛelmen ljinsiya Taspanyut, maca qbel ila wer غer-sen telli. Ttuغa wer x-asen ttḥsiben ca d Ispunya waxxa lulen din. Deg useggʷas n 1986, isnekker Ɛumar Muḥemmadi Duduḥ ijjen غewweغ x lḥakem Felipe Gonzalez alaḥsab lḥal n Irifiyen di Mlilet."
"Heart","Ul","Tarifit","Uⵍ","Ul","Ul"
"Mountain","Adrar","Tarifit","Aⴷⵔⴰⵔ","Adrar","Adrar"
"Sea and sky","Ilel d ujnna","Tarifit","Iⵍⴻⵍ ⴷ ⵓⵊⵏⵏⴰ","Ilel d ujnna","Ilel d ujnna"
"The tale and the ash","Tanfust d tnifst","Tarifit","Tⴰⵏⴼⵓⵙⵝ ⴷ ⵝⵏⵉⴼⵙⵝ","Tanfust d tnifst","Tanfust d tnifst"
"Child","ⴰⵃⴰⵎⵓⵛ","Tarifit","ⴰⵃⴰⵎⵓⵛ","aḥamush","احاموش"
"Child","ⴰⴼⵔⵓⵊ","Tarifit","ⴰⴼⵔⵓⵊ","afruj","افروج"
"illusion ","ⵎⴰⵔⵓⵔ","Other","ⵎⴰⵔⵓⵔ","marur","مارور"
"trap","ⵜⴰⵎⴷⴰⵢⵜ","Other","ⵜⴰⵎⴷⴰⵢⵜ","tamdayt","تامدايت"
"break","ⵉⵕⵥⴰ","Tachelhit","ⵉⵕⵥⴰ","iṛẓa","يرزّا"
"more","ⵓⴳⴳⴰⵔ ","Tachelhit","ⵓⴳⴳⴰⵔ ","uggar ","وڭڭار "
"much","ⴱⴰⵀⵔⴰ","Tachelhit","ⴱⴰⵀⵔⴰ","bahra","باهرا"
"I remember it.","ⴽⵜⵉⵃⵜ","Tachelhit","ⴽⵜⵉⵃⵜ","ktiḥt","كتيحت"
"Excuse me where I didn't answer you because I was busy.","ⵙⵓⵔⴼⵉⵢⵉ ⵓⵔⴰⴽ ⵔⴰⵕⵃ ⴰⵛⴽⵓ ⵓⵔⵉⵢⵉⴷ ⵢⴰⵖ","Tachelhit","ⵙⵓⵔⴼⵉⵢⵉ ⵓⵔⴰⴽ ⵔⴰⵕⵃ ⴰⵛⴽⵓ ⵓⵔⵉⵢⵉⴷ ⵢⴰⵖ","surfiyi urak raṛḥ ashku uriyid yaɣ","سورفييي وراك رارح اشكو وريييد ياغ"
"You are crazy, Iddr!","ⵡⴰⵛ ⴰⵜⴳⵉⵜ ⴰⵢⴷⴻⵔ","Tachelhit","ⵡⴰⵛ ⴰⵜⴳⵉⵜ ⴰⵢⴷⴻⵔ","wash atgit ayder","واش اتڭيت ايد°ر"
"I don't have money","ⵓⵔ ⴷⴰⵔⵉ ⵉⵇⴰⵕⵉⴹⵏ ","Tachelhit","ⵓⵔ ⴷⴰⵔⵉ ⵉⵇⴰⵕⵉⴹⵏ ","ur dari iqaṛiḍn ","ور داري يقاريضن "
"Excuse me!","ⵙⵙⵓⵔⴼⵉⵢⵉ ","Tachelhit","ⵙⵙⵓⵔⴼⵉⵢⵉ ","ssurfiyi ","سسورفييي "
"What did you say?","ⵎⴰⵙ ⵜⵏⵏⵉⵜ","Tachelhit","ⵎⴰⵙ ⵜⵏⵏⵉⵜ","mas tnnit","ماس تننيت"
"Let's go to Agadir owfella, Everybody is talking about its beauty.","ⵢⴰⵍⵍⴰⵀ ⴰ ⴷⴷⵓ ⵙ ⴰⴳⴰⴷⵉⵔ ⵓⴼⵍⵍⴰ, ⴰⵔ ⵜⵉⵏⵉⵏ ⵉⴼⵓⵍⴽⵉ ⵖⵉⵏ","Tachelhit","ⵢⴰⵍⵍⴰⵀ ⴰ ⴷⴷⵓ ⵙ ⴰⴳⴰⴷⵉⵔ ⵓⴼⵍⵍⴰ, ⴰⵔ ⵜⵉⵏⵉⵏ ⵉⴼⵓⵍⴽⵉ ⵖⵉⵏ","yallah a ddu s agadir uflla, ar tinin ifulki ɣin","ياللاه ا ددو س اڭادير وفللا, ار تينين يفولكي غين"
"Where is he?","ⵎⴰⵏⵣⴰⵜ? ","Tachelhit","ⵎⴰⵏⵣⴰⵜ? ","manzat? ","مانزات? "
"We remembered the days","ⴰⴷⴰⵃⴷ ⵙⴽⵜⵉⵏ ⵓⵙⵙⴰⵏ ","Tachelhit","ⴰⴷⴰⵃⴷ ⵙⴽⵜⵉⵏ ⵓⵙⵙⴰⵏ ","adaḥd sktin ussan ","اداحد سكتين وسسان "
"I have a problem","ⴷⴰⵔⵉ ⵜⴰⵎⵓⴽⵔⵉⵙⵜ ","Tachelhit","ⴷⴰⵔⵉ ⵜⴰⵎⵓⴽⵔⵉⵙⵜ ","dari tamukrist ","داري تاموكريست "
"I still don't want to go.","ⵓⵔⵜⴰ ⵔⵉⵃ ⴰⴷⴷⵓⵃ","Tachelhit","ⵓⵔⵜⴰ ⵔⵉⵃ ⴰⴷⴷⵓⵃ","urta riḥ adduḥ","ورتا ريح اددوح"
"I don't speak Arabic","ⵓⵔⴰ ⵙⴰⵡⴰⵍⵃ ⵜⴰⵄⵔⴰⴱⵜ ","Tachelhit","ⵓⵔⴰ ⵙⴰⵡⴰⵍⵃ ⵜⴰⵄⵔⴰⴱⵜ ","ura sawalḥ ta3rabt ","ورا ساوالح تاعرابت "
"Yellow","awraɣ","Central","ⴰⵡⵔⴰⵖ","awraɣ","awraغ"
"Red","azggwaɣ","Central","ⴰⵣⴴⴴⵡⴰⵖ","azggwaɣ","azggwaغ"
"Because","acku","Central","ⴰcⴿⵓ","acku","acku"
"Black","abrkan","Central","ⴰⴲⵔⴿⴰⵏ","abrkan","abrkan"
"I love you","Dak tirikh","Central","Dⴰⴿ ⵝⵉⵔⵉⴿⵁ","Dak tirikh","Dak tirikh"
"I love you","Dakm tirikh","Central","Dⴰⴿⵎ ⵝⵉⵔⵉⴿⵁ","Dakm tirikh","Dakm tirikh"
"You can't live in Tiznit if you don't speak Tachelhit","ⵓⵔⵜⵣⴹⴰⵔⵜ ⴰⵜⵣⴷⵖⵜ ⵃ ⵜⵉⵣⵏⵉⵜ ⵉⵢ ⵓⵔⵜⵙⵏⵜ ⵜⴰⵛⵍⵃⵉⵜ","Tachelhit","ⵓⵔⵜⵣⴹⴰⵔⵜ ⴰⵜⵣⴷⵖⵜ ⵃ ⵜⵉⵣⵏⵉⵜ ⵉⵢ ⵓⵔⵜⵙⵏⵜ ⵜⴰⵛⵍⵃⵉⵜ","urtzḍart atzdɣt ḥ tiznit iy urtsnt tashlḥit","ورتزضارت اتزدغت ح تيزنيت يي ورتسنت تاشلحيت"
"What's your name?","ⵎⴰⴷⴰⴽ ⵉⵙⵎ? ","Tachelhit","ⵎⴰⴷⴰⴽ ⵉⵙⵎ? ","madak ism? ","ماداك يسم? "
"I can hear it","ⵣⴷⴰⵔⵃ ⴰⴷⴰⵙ ⵙⵍⵍⴰⵃ","Tachelhit","ⵣⴷⴰⵔⵃ ⴰⴷⴰⵙ ⵙⵍⵍⴰⵃ","zdarḥ adas sllaḥ","زدارح اداس سللاح"
"what's this?","ⵎⴰⵢⴳⴰ ⵖⴰⵢⴰⴷ? ","Tachelhit","ⵎⴰⵢⴳⴰ ⵖⴰⵢⴰⴷ? ","mayga ɣayad? ","مايڭا غاياد? "
"Can you help me?","ⵜⵣⴷⴰⵔⵜ ⴰⵢⵉ ⵜⴰⵡⵙⵜ? ","Tachelhit","ⵜⵣⴷⴰⵔⵜ ⴰⵢⵉ ⵜⴰⵡⵙⵜ? ","tzdart ayi tawst? ","تزدارت ايي تاوست? "
"Are you alone?","ⵉⵣⴷ ⵜⴳⵉⵜ ⵡⴰⵃⴷⵓⴽ? ","Tachelhit","ⵉⵣⴷ ⵜⴳⵉⵜ ⵡⴰⵃⴷⵓⴽ? ","izd tgit waḥduk? ","يزد تڭيت واحدوك? "
"what did you say?","ⵎⴰⵙ ⵜⵏⵏⵉⵜ? ","Tachelhit","ⵎⴰⵙ ⵜⵏⵏⵉⵜ? ","mas tnnit? ","ماس تننيت? "
"Tom won't let Mary go.","ⵟⵓⵎ ⵓⵔⴰⵢⴰⵊ ⵎⴰⵔⵉ ⴰⵜⴷⴷⵓ","Tachelhit","ⵟⵓⵎ ⵓⵔⴰⵢⴰⵊ ⵎⴰⵔⵉ ⴰⵜⴷⴷⵓ","ṭum urayaj mari atddu","طوم وراياج ماري اتددو"
"You'd better go home.","ⵢⵓⴼⴰⴽ ⴰⵜⴷⴷⵓⵜ ⵙ ⵜⴳⵎⵎⵉ ","Tachelhit","ⵢⵓⴼⴰⴽ ⴰⵜⴷⴷⵓⵜ ⵙ ⵜⴳⵎⵎⵉ ","yufak atddut s tgmmi ","يوفاك اتددوت س تڭممي "
"Most boys know his name.","ⵜⵓⴳⵜⵜ ⵏ ⴷⵔⵔⵉⵜ ⵙⵉⵏ ⵉⵙⵎ ⵏⵙ","Tachelhit","ⵜⵓⴳⵜⵜ ⵏ ⴷⵔⵔⵉⵜ ⵙⵉⵏ ⵉⵙⵎ ⵏⵙ","tugtt n drrit sin ism ns","توڭتت ن درريت سين يسم نس"
"tom is lying to you","ⴰⵔ ⴼⵍⵍⴰⵎ ⵉⵙⴽⵉⵔⴽⵉⵙ ⵜⵓⵎ.","Tachelhit","ⴰⵔ ⴼⵍⵍⴰⵎ ⵉⵙⴽⵉⵔⴽⵉⵙ ⵜⵓⵎ.","ar fllam iskirkis tum.","ار فللام يسكيركيس توم."
"Sami doesn't want to be friends with Laila","ⵓⵔ ⵉⵔⵉ ⵙⴰⵎⵉ ⴰⴷ ⵉⴷⴷⵓⴽⴽⵍ ⴷ ⵍⴰⵢⵍⴰ.","Tachelhit","ⵓⵔ ⵉⵔⵉ ⵙⴰⵎⵉ ⴰⴷ ⵉⴷⴷⵓⴽⴽⵍ ⴷ ⵍⴰⵢⵍⴰ.","ur iri sami ad iddukkl d layla.","ور يري سامي اد يددوككل د لايلا."
"Sami killed Laila and then killed himself","ⵉⵏⵖⴰ ⵙⴰⵎⵉ ⵍⴰⵢⵍⴰ ⵉⵏⵖ ⵉⵍⵎⵎⴰ ⵉⵅⴼ ⵏⵏⵙ.","Tachelhit","ⵉⵏⵖⴰ ⵙⴰⵎⵉ ⵍⴰⵢⵍⴰ ⵉⵏⵖ ⵉⵍⵎⵎⴰ ⵉⵅⴼ ⵏⵏⵙ.","inɣa sami layla inɣ ilmma ikhf nns.","ينغا سامي لايلا ينغ يلمما يخف ننس."
"he traveled to London to learn English.","ⵉⵎⵎⵓⴷⴷⴰ ⵙ ⵍⵓⵏⴷⵓⵏ ⴰⴷ ⵉⵍⵎⴷ ⵜⴰⵏⴳⵍⵉⵣⵉⵜ.","Tachelhit","ⵉⵎⵎⵓⴷⴷⴰ ⵙ ⵍⵓⵏⴷⵓⵏ ⴰⴷ ⵉⵍⵎⴷ ⵜⴰⵏⴳⵍⵉⵣⵉⵜ.","immudda s lundun ad ilmd tanglizit.","يمموددا س لوندون اد يلمد تانڭليزيت."
"my dad's name is hmmou","ⴱⴰⴱⴰ ⵉⵙⵎ ⴰⵙ ⵀⵎⵎⵓ.","Tachelhit","ⴱⴰⴱⴰ ⵉⵙⵎ ⴰⵙ ⵀⵎⵎⵓ.","baba ism as hmmu.","بابا يسم اس هممو."
"David is handsome.","ⴷⴰⴼⵉⴷ ⵉⴼⵓⵍⴽⵉ.","Tachelhit","ⴷⴰⴼⵉⴷ ⵉⴼⵓⵍⴽⵉ.","dafid ifulki.","دافيد يفولكي."
"sit down!","ⵙⴽⴽⵓⵙ!","Tachelhit","ⵙⴽⴽⵓⵙ!","skkus!","سككوس!"
"John went to France yesterday","ⵉⴼⵜⴰ ⵊⵓⵏ ⵙ ⴼⵕⴰⵏⵙⴰ ⵉⴹⴳⴰⵎ.","Tachelhit","ⵉⴼⵜⴰ ⵊⵓⵏ ⵙ ⴼⵕⴰⵏⵙⴰ ⵉⴹⴳⴰⵎ.","ifta jun s fṛansa iḍgam.","يفتا جون س فرانسا يضڭام."
"take it with you, please ","ⴰⵡⵉ ⵜⵜ ⴷⵉⴽ ⵄⴰⴼⴰⴽ.","Tachelhit","ⴰⵡⵉ ⵜⵜ ⴷⵉⴽ ⵄⴰⴼⴰⴽ.","awi tt dik 3afak.","اوي تت ديك عافاك."
"are you crazy? ","ⵉⵙ ⵜⵅⵍⴰⵎⵜ?","Tachelhit","ⵉⵙ ⵜⵅⵍⴰⵎⵜ?","is tkhlamt?","يس تخلامت?"
"where are you? ","ⵎⴰⵏⵉ ⴳ ⵜⵍⵍⴰⵎ?","Tachelhit","ⵎⴰⵏⵉ ⴳ ⵜⵍⵍⴰⵎ?","mani g tllam?","ماني ڭ تللام?"
"I wanted to hit him but he ran away from me","ⵔⵉⵖ ⴰⴷ ⵜ ⵓⵜⵖ ⵡⴰⵢⵏⵏⵉ ⵉⵔⵓⵔ ⵉⵢⵉ.","Tachelhit","ⵔⵉⵖ ⴰⴷ ⵜ ⵓⵜⵖ ⵡⴰⵢⵏⵏⵉ ⵉⵔⵓⵔ ⵉⵢⵉ.","riɣ ad t utɣ waynni irur iyi.","ريغ اد ت وتغ واينني يرور ييي."
"I wanna talk with your daughter","ⵔⵉⵖ ⴰⴷ ⵙⴰⵡⵍⵖ ⴷ ⵉⵍⵍⵉⴽ.","Tachelhit","ⵔⵉⵖ ⴰⴷ ⵙⴰⵡⵍⵖ ⴷ ⵉⵍⵍⵉⴽ.","riɣ ad sawlɣ d illik.","ريغ اد ساولغ د يلليك."
"give us some water, please ","ⴼⴽ-ⴰⵖ ⴰⵎⴰⵏ, ⵉ ⵔⴱⴱⵉ !","Tachelhit","ⴼⴽ-ⴰⵖ ⴰⵎⴰⵏ, ⵉ ⵔⴱⴱⵉ !","fk-aɣ aman, i rbbi !","فك-اغ امان, ي رببي !"
"I'm not good for you.","ⵓⵔ ⴰⵎ ⴳⵉⵖ ⵏⴽⴽⵉ.","Tachelhit","ⵓⵔ ⴰⵎ ⴳⵉⵖ ⵏⴽⴽⵉ.","ur am giɣ nkki.","ور ام ڭيغ نككي."
"How long will you stay in Japan?","ⵎⵏⵛⵜ ⵏ ⵜⵉⵣⵉ ⴰ ⵔⴰⴷ ⵏⵏ ⵜⴽⴽⴷ ⴳ ⵊⵊⴰⴱⴱⵓⵏ?","Tachelhit","ⵎⵏⵛⵜ ⵏ ⵜⵉⵣⵉ ⴰ ⵔⴰⴷ ⵏⵏ ⵜⴽⴽⴷ ⴳ ⵊⵊⴰⴱⴱⵓⵏ?","mnsht n tizi a rad nn tkkd g jjabbun?","منشت ن تيزي ا راد نن تككد ڭ ججاببون?"
"igoudar were the old bank","ⴽⴽⴰⵏ ⵜⵜ ⵉⵏⵏ ⵉⴳⵓⴷⴰⵔ ⵏⵜⵜⵏⵉ ⴰⴷ ⵉⴳⴰⵏ ⵍⴱⴰⵏⴽ ⵏ ⵣⵉⴽⴽ ⵍⵃⴰⵍ.","Tachelhit","ⴽⴽⴰⵏ ⵜⵜ ⵉⵏⵏ ⵉⴳⵓⴷⴰⵔ ⵏⵜⵜⵏⵉ ⴰⴷ ⵉⴳⴰⵏ ⵍⴱⴰⵏⴽ ⵏ ⵣⵉⴽⴽ ⵍⵃⴰⵍ.","kkan tt inn igudar nttni ad igan lbank n zikk lḥal.","ككان تت ينن يڭودار نتتني اد يڭان لبانك ن زيكك لحال."
"I planted flowers","ⵥⵥⵉⵖ ⵉⵊⵊⵉⴳⵏ.","Tachelhit","ⵥⵥⵉⵖ ⵉⵊⵊⵉⴳⵏ.","ẓẓiɣ ijjign.","زّزّيغ يججيڭن."
"they speak French in France ","ⵜⴰⴼⵕⴰⵏⵙⵉⵙⵜ ⴰⵔ ⵙⵉⵙ ⵙⴰⵡⴰⵍⵏ ⵖ ⴼⵕⴰⵏⵙⴰ.","Tachelhit","ⵜⴰⴼⵕⴰⵏⵙⵉⵙⵜ ⴰⵔ ⵙⵉⵙ ⵙⴰⵡⴰⵍⵏ ⵖ ⴼⵕⴰⵏⵙⴰ.","tafṛansist ar sis sawaln ɣ fṛansa.","تافرانسيست ار سيس ساوالن غ فرانسا."
"write it for me","ⴰⵔⴰⵢⵉⵜ","Tachelhit","ⴰⵔⴰⵢⵉⵜ","arayit","اراييت"
"I always pray my prayers every day.","ⴰⵔ ⴱⴷⴷⴰ ⵜⵥⴰⵍⵍⴰⵃ ⵜⴰⵥⴰⵍⵍⵉⵜ ⵉⵏⵓ ⴽⵔⴰⵢ ⴳⴰⵜ ⴰⵙⵙ ","Tachelhit","ⴰⵔ ⴱⴷⴷⴰ ⵜⵥⴰⵍⵍⴰⵃ ⵜⴰⵥⴰⵍⵍⵉⵜ ⵉⵏⵓ ⴽⵔⴰⵢ ⴳⴰⵜ ⴰⵙⵙ ","ar bdda tẓallaḥ taẓallit inu kray gat ass ","ار بددا تزّاللاح تازّالليت ينو كراي ڭات اسس "
"Do you know English?","ⵜⵙⴻⵏⵜ ⵜⴰⵏⴳⵍⵉⵣⵉⵜ? ","Tachelhit","ⵜⵙⴻⵏⵜ ⵜⴰⵏⴳⵍⵉⵣⵉⵜ? ","tsent tanglizit? ","تس°نت تانڭليزيت? "
"How much is that?","ⵎⵏⵛⴽ ⴰⵢⴳⴰ ⵖⵡⴰⵏ? ","Tachelhit","ⵎⵏⵛⴽ ⴰⵢⴳⴰ ⵖⵡⴰⵏ? ","mnshk ayga ɣwan? ","منشك ايڭا غوان? "
"Do you know me?","ⵜⵙⵏⵜⵉⵢⵉ? ","Tachelhit","ⵜⵙⵏⵜⵉⵢⵉ? ","tsntiyi? ","تسنتييي? "
"I have no idea what you mean.","ⵓⵔⵙⴻⵏⵃ ⵎⴰⵜⵔⵉⵜ ⴰⵜⵉ ⵜⵉⵏⵉⵜ? ","Tachelhit","ⵓⵔⵙⴻⵏⵃ ⵎⴰⵜⵔⵉⵜ ⴰⵜⵉ ⵜⵉⵏⵉⵜ? ","ursenḥ matrit ati tinit? ","ورس°نح ماتريت اتي تينيت? "
"Tom promised Mary that he'd be home by 5:30.","ⵟⵓⵎ ⵉⵇⴰⵡⵍ ⵉ ⵎⴰⵔⵉ ⵎⴰⵙⴷ 5:30 ⵔⴰ ⵢⵉⵍⵉ ⵢ ⵜⴳⵎⵎⵉ ","Tachelhit","ⵟⵓⵎ ⵉⵇⴰⵡⵍ ⵉ ⵎⴰⵔⵉ ⵎⴰⵙⴷ 5:30 ⵔⴰ ⵢⵉⵍⵉ ⵢ ⵜⴳⵎⵎⵉ ","ṭum iqawl i mari masd 5:30 ra yili y tgmmi ","طوم يقاول ي ماري ماسد 5:30 را ييلي ي تڭممي "
"He doesn't know me.","ⵓⵔⵉⵢⵉ ⵉⵙⵙⵏ","Tachelhit","ⵓⵔⵉⵢⵉ ⵉⵙⵙⵏ","uriyi issn","ورييي يسسن"
"Turn the key to the right.","ⵔⴰⵔ ⵜⴰⵙⴰⵔⵓⵜ ⵙ ⵓⴼⴰⵙⵉ","Tachelhit","ⵔⴰⵔ ⵜⴰⵙⴰⵔⵓⵜ ⵙ ⵓⴼⴰⵙⵉ","rar tasarut s ufasi","رار تاساروت س وفاسي"
"Don't worry about my dog.","ⴰⴽⴽⴰⴽ ⵓⵔ ⵉⵙⵙⵉⵃⵍ ⵉⴽⵣⵉⵏ ⵉⵏⵓ","Tachelhit","ⴰⴽⴽⴰⴽ ⵓⵔ ⵉⵙⵙⵉⵃⵍ ⵉⴽⵣⵉⵏ ⵉⵏⵓ","akkak ur issiḥl ikzin inu","اككاك ور يسسيحل يكزين ينو"
"I'll meet them at six.","ⵔⴰⵜⵏ ⵎⵉⴳⵉⵔⵃ ⵃ ⵜⵉⵙⵙ ⵚⴹⵉⵚ ","Tachelhit","ⵔⴰⵜⵏ ⵎⵉⴳⵉⵔⵃ ⵃ ⵜⵉⵙⵙ ⵚⴹⵉⵚ ","ratn migirḥ ḥ tiss ṣḍiṣ ","راتن ميڭيرح ح تيسس صضيص "
"I got up early.","ⵏⵏⴽⵔⵢⴷ ⵣⵉⴽ","Tachelhit","ⵏⵏⴽⵔⵢⴷ ⵣⵉⴽ","nnkryd zik","ننكريد زيك"
"Bill is two years older than I am.","ⴱⵉⵍ ⵢⵓⴳⵔⵉⵢⵉ ⵙ ⵙⵉⵏ ⵉⵙⴳⴳⵯⴰⵙⵏ ","Tachelhit","ⴱⵉⵍ ⵢⵓⴳⵔⵉⵢⵉ ⵙ ⵙⵉⵏ ⵉⵙⴳⴳⵯⴰⵙⵏ ","bil yugriyi s sin isggⵯasn ","بيل يوڭرييي س سين يسڭڭⵯاسن "
"She came with good news.","ⵜⵉⵡⵉⴷ ⵍⴰⵅⴱⴰⵔ ⵏ ⵍⵎⵍⵉⵃ","Tachelhit","ⵜⵉⵡⵉⴷ ⵍⴰⵅⴱⴰⵔ ⵏ ⵍⵎⵍⵉⵃ","tiwid lakhbar n lmliḥ","تيويد لاخبار ن لمليح"
"I have nothing to do at the moment.","ⵓⵔ ⴷⴰⵔⵉ ⵎⴰⴷⵙⴽⴰⵔⵃ ⵖⵉⵍⴰⴷ","Tachelhit","ⵓⵔ ⴷⴰⵔⵉ ⵎⴰⴷⵙⴽⴰⵔⵃ ⵖⵉⵍⴰⴷ","ur dari madskarḥ ɣilad","ور داري مادسكارح غيلاد"
"My friends call me Ken.","ⵉⵎⴷⴷⵓⴽⴽⴰⵍ ⵉⵏⵓ ⴰⵔⵉⵢⵉ ⴰⵇⵔⴰⵏ ⵙ ⴽⵉⵏ","Tachelhit","ⵉⵎⴷⴷⵓⴽⴽⴰⵍ ⵉⵏⵓ ⴰⵔⵉⵢⵉ ⴰⵇⵔⴰⵏ ⵙ ⴽⵉⵏ","imddukkal inu ariyi aqran s kin","يمددوككال ينو ارييي اقران س كين"
"I know him very well.","ⵙⵙⴻⵏⵃⵜ ⴱⴰⵀⵔⴰ","Tachelhit","ⵙⵙⴻⵏⵃⵜ ⴱⴰⵀⵔⴰ","ssenḥt bahra","سس°نحت باهرا"
"How many siblings do you have?","ⵎⵏⵛⴽ ⵏ ⴰⵢⵜⵎⴰⵜⵏ ⴰⴷⴷⴰⵔⴽ? ","Tachelhit","ⵎⵏⵛⴽ ⵏ ⴰⵢⵜⵎⴰⵜⵏ ⴰⴷⴷⴰⵔⴽ? ","mnshk n aytmatn addark? ","منشك ن ايتماتن اددارك? "
"I will tell you if you wish.","ⵔⴰⴷⴰⴽ ⵉⵏⵉⵃ ⵉⵃ ⵜⵔⵉⵜ","Tachelhit","ⵔⴰⴷⴰⴽ ⵉⵏⵉⵃ ⵉⵃ ⵜⵔⵉⵜ","radak iniḥ iḥ trit","راداك ينيح يح تريت"
