English,Tamazight,Tamazight_Latin,Tamazight_Arabic
We will be in touch with more information about how to add your language to Common Voice very soon.,ⵔⴰⴷ ⴷⵉⴷⵓⵏ ⵏⴻⵏⵢⴰⵍⴽⴰⵎ ⵙ ⵡⵓⴳⴳⴰⵔ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⴳ ⵎ'ⴰⴷ ⴷ ⵢⴰⵥⵏ ⵅⴼ ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵜⵔⵏⵓⵎ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ ⴳ ⴽⴰⵎⵏⴼⵓⵢⵙ.,rad didun nenyalkam s wuggar n inghmisn g m'ad d yaẓn khf manmk s rad trnum tutlayt nnun g kamnfuys.,راد ديدون ن°نيالكام س ووڭڭار ن ينغميسن ڭ م'اد د يازّن خف مانمك س راد ترنوم توتلايت ننون ڭ كامنفويس.
Let's Get Started,ⴰⵢⵡⴰ ⴰⴷ ⵏⵙⵙⵏⵜⵉ,aywa ad nssnti,ايوا اد نسسنتي
Does the sentence meet the guidelines?,ⵉⵙ ⴷ ⵜⵎⵙⴰⵙⴰ ⵜⵡⵉⵏⵙⵜ ⴰⴽⴷ ⵜⴰⵔⴰⵜⵉⵏ?,is d tmsasa twinst akd taratin?,يس د تمساسا توينست اكد تاراتين?
{ $actionType }<playIcon></playIcon> did they accurately speak the sentence?,{ $actionType }<playIcon></playIcon> ⵉⵙ ⵙⵓⵙⵔⵏ ⵜⴰⵡⵉⵏⵙⵜ ⵙ ⵓⵏⵖⴰⴷ?,{ $actionType }<playIcon></playIcon> is susrn tawinst s unghad?,{ $actionType }<playIcon></playIcon> يس سوسرن تاوينست س ونغاد?
The process by which a contributor’s profile information is obscured from their donated voice clips when packaged for download as a part of the dataset.,ⵜⴰⵣⵉⴳⵣⵜ ⵏⵏⴰ ⵙ ⵍⴰ ⵜⵜⴼⴼⵔⵏ ⵉⵏⵖⵎⵉⵙⵏ ⵏ ⵉⴼⵔⵙ ⵏ ⵓⵎⴰⵔⴰⴳ ⵅⴼ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ ⵜⵜⵓⴼⴽⴰⵏⵉⵏ ⴰⴷⴷⴰⵢ ⵎⵎⵓⵜⵜⵔⵏ ⵉ ⵡⴰⴳⴰⵎ ⴰⵎ ⵢⴰⵜ ⵜⴳⴹⴰⵎⵜ ⵙⴳ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ.,tazigzt nna s la ttffrn inghmisn n ifrs n umarag khf tussifin tigṛḍanin ttufkanin adday mmuttrn i wagam am yat tgḍamt sg tgrumma n isfka.,تازيڭزت ننا س لا تتففرن ينغميسن ن يفرس ن وماراڭ خف توسسيفين تيڭرضانين تتوفكانين ادداي مموتترن ي واڭام ام يات تڭضامت سڭ تڭرومما ن يسفكا.
Uyghur,ⵜⴰⵡⵉⵖⵓⵔⵉⵜ,tawighurit,تاويغوريت
"Includes mp3s and related sentences, may take some time to prepare","ⴳⵉⵙ ⵉⴷ MP3 ⴷ ⵜⵡⵉⵏⴰⵙ ⵇⵇⵏⵏⵉⵏ, ⵉⵖⵉⵢ ⴰⴷ ⵢⴰⵎⵥ ⴽⵔⴰ ⵏ ⵜⵉⵣⵉ ⵃⵎⴰ ⴰⴷ ⵉⵎⵓⵜⵜⴳ","gis id MP3 d twinas qqnnin, ighiy ad yamẓ kra n tizi ḥma ad imuttg","ڭيس يد MP3 د تويناس ققننين, يغيي اد يامزّ كرا ن تيزي حما اد يموتتڭ"
This is a use case driven segment containing data to power spoken digit recognition and yes / no detection.,ⵉⴳⴰ ⵓⵢⴰ ⵢⴰⵜ ⵜⵓⵟⵟⵓⵜ ⴷ ⵉⴽⴽⴰⵏ ⵉⵎⴷⵢⴰⵜⵏ ⵏ ⵓⵙⵙⵎⵔⵙ ⵢⵓⵎⵉⵏ ⵉⵙⴼⴽⴰ ⵉ ⵓⵣⵣⵎⵔ ⵏ ⵜⵓⴽⵣⴰ ⵏ ⵡⵓⵟⵟⵓⵏⵏ ⵉⵜⵜⵓⵏⵏⴰⵏ ⴷ ⵜⵡⴰⴼⵉⵜ ⵏ ⵢⴰⵀ/ⵓⵀⵓ.,iga uya yat tuṭṭut d ikkan imdyatn n ussmrs yumin isfka i uzzmr n tukza n wuṭṭunn ittunnan d twafit n yah/uhu.,يڭا ويا يات توططوت د يككان يمدياتن ن وسسمرس يومين يسفكا ي وززمر ن توكزا ن ووططونن يتتوننان د توافيت ن ياه/وهو.
Common Voice is Mozilla's initiative to help teach machines how real people speak.,ⵉⴳⴰ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵜⴰⵙⵏⵜⴰⵢⵜ ⵏ ⵎⵓⵣⵉⵍⴰ ⵉ ⵜⵡⵉⵙⵉ ⴳ ⵓⵙⵙⵍⵎⴷ ⵉ ⵜⵎⴰⵛⵉⵏⵉⵏ ⵎⴰⵏⵎⴽ ⵙⴰⵡⴰⵍⵏ ⵎⴷⴷⵏ ⵏ ⵜⵉⴷⵜ.,iga kamnfuys tasntayt n muzila i twisi g usslmd i tmashinin manmk sawaln mddn n tidt.,يڭا كامنفويس تاسنتايت ن موزيلا ي تويسي ڭ وسسلمد ي تماشينين مانمك ساوالن مددن ن تيدت.
Personal dashboards keep you up-to-date with individual and community progress.,ⵍⴰ ⴽⵯⵏ ⵜⵜⴰⵊⵊⴰⵏⵜ ⵜⴼⵉⵍⵉⵏ ⵏ ⵓⵏⴷⴰⵀ ⵜⵉⵏⵉⵎⴰⵏⵉⵏ ⴰⴷ ⵜⵏⵏⵖⵎⵙⵎ ⵅⴼ ⵡⴰⵍⴰⵢ ⵓⴼⵔⵉⴷ ⴷ ⵡⵉⵏ ⵜⴳⵔⴰⵡⵜ.,la kⵯn ttajjant tfilin n undah tinimanin ad tnnghmsm khf walay ufrid d win tgrawt.,لا كⵯن تتاججانت تفيلين ن ونداه تينيمانين اد تننغمسم خف والاي وفريد د وين تڭراوت.
release,ⵜⵓⴼⴼⵖⴰ,tuffgha,توففغا
"<strong>Get creative!</strong> Your language community will be unique, and these are just a few ways to get started.","<strong>ⴳⴰⵜ ⵉⵎⵙⵏⴼⵍⵓⵍⵏ!</strong> ⵔⴰⴷ ⵜⴳ ⵜⴳⵔⴰⵡⵜ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ ⵜⴰⵎⵢⴰⵏⵜ, ⴷ ⵜⵉ ⴳⴰⵏⵜ ⵖⴰⵙ ⴽⵔⴰ ⵏ ⵜⵖⴰⵔⴰⵙⵉⵏ ⴷⵔⵓⵙⵏⵉⵏ ⵃⵎⴰ ⴰⴷ ⵜⵙⵙⵏⵜⵉⵎ.","<strong>gat imsnfluln!</strong> rad tg tgrawt n tutlayt nnun tamyant, d ti gant ghas kra n tgharasin drusnin ḥma ad tssntim.","<strong>ڭات يمسنفلولن!</strong> راد تڭ تڭراوت ن توتلايت ننون تاميانت, د تي ڭانت غاس كرا ن تغاراسين دروسنين حما اد تسسنتيم."
Adyghe,ⵜⴰⴷⵉⴳⵉⵜ,tadigit,تاديڭيت
Language,ⵜⵓⵜⵍⴰⵢⵜ,tutlayt,توتلايت
Cancel Re-recording,ⵙⵔ ⴰⵍⴰⵙ ⵏ ⵓⵙⵓⵙⵔ,sr alas n ususr,سر الاس ن وسوسر
Comment,ⴰⵅⴼⴰⵡⴰⵍ,akhfawal,اخفاوال
Record your voice,ⵙⵓⵙⵔⴰⵜ ⴰⴳⵕⴹ ⵏⵏⵓⵏ,susrat agṛḍ nnun,سوسرات اڭرض ننون
Contact Us,ⵎⵢⴰⵡⴰⴹ ⴷⵉⴷⵏⵖ,myawaḍ didngh,مياواض ديدنغ
Review,ⵙⵙⵉⵔⵎ,ssirm,سسيرم
Sign up for { $lang } updates:,ⵣⵎⵎⴻⵎ ⴳ ⵉⵙⴷⵖⵉⵜⵏ ⵏ { $lang }:,zmmem g isdghitn n { $lang }:,زمم°م ڭ يسدغيتن ن { $lang }:
Goan Konkani,ⵜⴰⴽⵓⵏⴽⴰⵏⵉⵜ ⵜⴰⴳⵡⴰⵏⵉⵜ,takunkanit tagwanit,تاكونكانيت تاڭوانيت
No sentences to review. <addLink>Add more sentences now!</addLink>,ⵡⴰⵍⵓ ⵜⵉⵡⵉⵏⴰⵙ ⵉ ⵓⵙⵙⵉⵔⵎ. <addLink>ⵔⵏⵓ ⵓⴳⴳⴰⵔ ⵏ ⵜⵡⵉⵏⴰⵙ ⴷⵖⵉ!</addLink>,walu tiwinas i ussirm. <addLink>rnu uggar n twinas dghi!</addLink>,والو تيويناس ي وسسيرم. <addLink>رنو وڭڭار ن تويناس دغي!</addLink>
Greek,ⵜⴰⴳⵔⵉⴽⵉⵜ,tagrikit,تاڭريكيت
Split into { $archiveCount } ZIP files containing,ⵉⵥⵓⵏ ⵅⴼ { $archiveCount } ⵉⴼⵓⵢⵍⴰ ZIP ⵢⵓⵎⵉⵏ,iẓun khf { $archiveCount } ifuyla ZIP yumin,يزّون خف { $archiveCount } يفويلا ZIP يومين
Swipe right to approve the sentence. Swipe left to reject it. Swipe up to skip it. <strong>Do not forget to submit your review!</strong>,ⵙⵓⵛⵛⴹⴰⵜ ⵖⵔ ⵓⴼⴰⵙⵉ ⵃⵎⴰ ⴰⴷ ⵜⵙⵙⴳⵍⵢⵎ ⵜⴰⵡⵉⵏⵙⵜ. ⵙⵓⵛⵛⴹⴰⵜ ⵖⵔ ⵓⵥⵍⵎⴰⴹ ⵃⵎⴰ ⴰⴷ ⵜⵜ ⵜⴰⴳⵢⵎ. ⵙⵓⵛⵛⴹⴰⵜ ⵖⵔ ⵓⴼⵍⵍⴰ ⵃⵎⴰ ⴰⴷ ⵜⵜ ⵜⵙⵙⵉⵏⴼⵎ. <strong>ⴰⴷ ⵓⵔ ⵜⴻⵜⵜⵓⵎ ⴰⴷ ⵜⴰⵣⵏⵎ ⴰⵙⵙⵉⵔⵎ ⵏⵏⵓⵏ!</strong>,sushshḍat ghr ufasi ḥma ad tssglym tawinst. sushshḍat ghr uẓlmaḍ ḥma ad tt tagym. sushshḍat ghr uflla ḥma ad tt tssinfm. <strong>ad ur tettum ad taznm assirm nnun!</strong>,سوششضات غر وفاسي حما اد تسسڭليم تاوينست. سوششضات غر وزّلماض حما اد تت تاڭيم. سوششضات غر وفللا حما اد تت تسسينفم. <strong>اد ور ت°تتوم اد تازنم اسسيرم ننون!</strong>
It contains words or phrases that are hard to read or pronounce.,ⵜⵓⵎⵉ ⵜⵉⴳⵓⵔⵉⵡⵉⵏ ⵏⵉⵖ ⵜⵉⵡⵉⵏⴰⵙ ⵏⵏⴰ ⵉⵎⵎⴰⵔⵏ ⴳ ⵜⵖⵔⵉ ⵏⵉⵖ ⴳ ⵓⵙⵓⵙⵔⵓ.,tumi tiguriwin nigh tiwinas nna immarn g tghri nigh g ususru.,تومي تيڭوريوين نيغ تيويناس ننا يممارن ڭ تغري نيغ ڭ وسوسرو.
To the right we outline the benefits and clarify what information we make public. Use the links below to get started with a Common Voice account on your own device.,"ⵖⵔ ⵓⴼⴰⵙⵉ, ⵍⴰ ⵏⴳⵍⵍⵎ ⵜⴰⵏⴼⵉⵡⵉⵏ, ⵏⵙⵙⴼⵔⵓ ⵎⴰⵏ ⵉⵏⵖⵎⵉⵙⵏ ⴰⴷ ⵏⵜⵜⴳⴳⴰ ⴷ ⵉⴳⴷⵓⴷⴰⵏⵏ. ⵙⵙⵎⵔⵙⴰⵜ ⵉⵙⵖⴰⵏ ⴷⴷⴰⵡ ⴷⴰ ⵃⵎⴰ ⴰⴷ ⵜⵙⵙⵏⵜⵉⵎ ⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴳ ⵡⴰⵍⵍⴰⵍ ⵏⵏⵓⵏ.","ghr ufasi, la ngllm tanfiwin, nssfru man inghmisn ad nttgga d igdudann. ssmrsat isghan ddaw da ḥma ad tssntim s yan umiḍan n kamnfuys g wallal nnun.","غر وفاسي, لا نڭللم تانفيوين, نسسفرو مان ينغميسن اد نتتڭڭا د يڭدودانن. سسمرسات يسغان دداو دا حما اد تسسنتيم س يان وميضان ن كامنفويس ڭ واللال ننون."
Here are some tips to find sentences:,ⵀⴰ ⴷ ⴽⵔⴰ ⵏ ⵉⵙⵙⴼⴰⵡⵏ ⵃⵎⴰ ⴰⴷ ⵜⴰⴼⴷ ⵜⵉⵡⵉⵏⴰⵙ:,ha d kra n issfawn ḥma ad tafd tiwinas:,ها د كرا ن يسسفاون حما اد تافد تيويناس:
Link expired,ⵉⵎⵎⵓⵜ ⵓⵙⵖⵏ,immut usghn,يمموت وسغن
"<strong>Sentence Collector</strong> is a tool for collecting and validating public domain sentences. You will <scAccountLink>need to create an account</scAccountLink>. Then, add your language to your <strong>Profile</strong>.  You can <strong>Add</strong> sentences or <strong>Review</strong> previously-added sentences.",ⵉⴳⴰ <strong>ⵙⴰⵏⵜⵏⵙ ⴽⵓⵍⵉⴽⵜⵓⵔ</strong> ⵢⴰⵏ ⵢⵉⵎⵉⵙⵙ ⵏ ⵓⴳⵔⵔⵓ ⴷ ⵓⵣⵣⵔⴰⵢ ⵏ ⵜⵡⵉⵏⴰⵙ ⵏ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ. ⵔⴰⴷ <scAccountLink>ⵜⴰⵙⵔⵎ ⴰⴷ ⵜⵙⵏⴼⵍⵓⵍⵎ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ</scAccountLink>. ⵜⵔⵏⵓⵎ ⵉⵍⵎⵎⴰ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ ⴳ <strong>ⵢⵉⴼⵔⵙ</strong> ⵏⵏⵓⵏ. ⵜⵣⵎⵔⵎ ⴰⴷ <strong>ⵜⵔⵏⵓⵎ</strong> ⵜⵉⵡⵉⵏⴰⵙ ⵏⵉⵖ <strong>ⵜⵙⵙⵉⵔⵎⵎ</strong> ⵜⵉⵡⵉⵏⴰⵙ ⵢⴰⴷ ⵜⵜⵓⵔⵏⴰⵏⵉⵏ.,iga <strong>santns kuliktur</strong> yan yimiss n ugrru d uzzray n twinas n wagla agdudan. rad <scAccountLink>tasrm ad tsnflulm yan umiḍan</scAccountLink>. trnum ilmma tutlayt nnun g <strong>yifrs</strong> nnun. tzmrm ad <strong>trnum</strong> tiwinas nigh <strong>tssirmm</strong> tiwinas yad tturnanin.,يڭا <strong>سانتنس كوليكتور</strong> يان ييميسس ن وڭررو د وززراي ن تويناس ن واڭلا اڭدودان. راد <scAccountLink>تاسرم اد تسنفلولم يان وميضان</scAccountLink>. ترنوم يلمما توتلايت ننون ڭ <strong>ييفرس</strong> ننون. تزمرم اد <strong>ترنوم</strong> تيويناس نيغ <strong>تسسيرمم</strong> تيويناس ياد تتورنانين.
Could not add language,ⵓⵔ ⵏⵣⵎⵉⵔ ⴰⴷ ⵏⵔⵏⵓ ⵜⵓⵜⵍⴰⵢⵜ,ur nzmir ad nrnu tutlayt,ور نزمير اد نرنو توتلايت
Zip #{ $offset } of { $total },Zip #{ $offset } ⵙⴳ { $total },Zip #{ $offset } sg { $total },Zip #{ $offset } سڭ { $total }
Sign in/up,ⴽⵛⵎ/ⵣⵎⵎⴻⵎ,kshm/zmmem,كشم/زمم°م
"You can also use Keyboard Shortcuts: { sc-review-form-button-approve-shortcut } to Approve, { sc-review-form-button-reject-shortcut } to Reject, { sc-review-form-button-skip-shortcut } to Skip","ⵜⵣⵎⵔⴷ ⴰⵡⴷ ⴰⴷ ⵜⵙⵙⵎⵔⵙⴷ ⵉⵙⵓⵏⴰⴼ ⵏ ⵓⵏⴰⵙⵉⵡ: { sc-review-form-button-approve-shortcut } ⵉ ⵙⵙⴳⵍⵢ, { sc-review-form-button-reject-shortcut } ⵉ ⴰⴳⵢ, { sc-review-form-button-skip-shortcut } ⵉ ⵙⵙⵉⵏⴼ","tzmrd awd ad tssmrsd isunaf n unasiw: { sc-review-form-button-approve-shortcut } i ssgly, { sc-review-form-button-reject-shortcut } i agy, { sc-review-form-button-skip-shortcut } i ssinf","تزمرد اود اد تسسمرسد يسوناف ن وناسيو: { sc-review-form-button-approve-shortcut } ي سسڭلي, { sc-review-form-button-reject-shortcut } ي اڭي, { sc-review-form-button-skip-shortcut } ي سسينف"
"Community, Creatives and Civil Society","ⵜⴰⴳⵔⴰⵡⵜ, ⵉⵎⵙⵏⴼⵍⵓⵍⵏ ⴷ ⵡⴰⵎⵓⵏ ⵓⵖⵔⵉⵎ","tagrawt, imsnfluln d wamun ughrim","تاڭراوت, يمسنفلولن د وامون وغريم"
Gender,ⴰⴳⵏⵓⵙ,agnus,اڭنوس
No variant selected,ⵡⴰⵍⵓ ⵜⴰⵎⵣⴰⵔⴰⵢⵜ ⵉⵜⵜⵓⵙⵜⵢⵏ,walu tamzarayt ittustyn,والو تامزارايت يتتوستين
"If you could <strong>hear them</strong> and <strong>understand them</strong>, it’s usually <strong>best to approve</strong>.","ⵎⴽ ⵜⵣⵎⵔⴷ ⴰⴷ <strong>ⴰⵙⵏⵜ ⵜⵙⵙⴼⵍⴷⴷ</strong> ⴷ ⴰⴷ <strong>ⵜⵏⵜ ⵜⵔⵎⵙⴷ</strong>, ⴳ ⵜⵎⵢⵓⵔⵜ <strong>ⵢⵓⴼ ⴰⴷ ⵜⵏⵜ ⵜⵙⵙⴳⵍⵢⴷ</strong>.","mk tzmrd ad <strong>asnt tssfldd</strong> d ad <strong>tnt trmsd</strong>, g tmyurt <strong>yuf ad tnt tssglyd</strong>.","مك تزمرد اد <strong>اسنت تسسفلدد</strong> د اد <strong>تنت ترمسد</strong>, ڭ تميورت <strong>يوف اد تنت تسسڭليد</strong>."
"If the sentence does not meet the above criteria, click the &quot;Reject&quot; button on the left. If you are unsure about the sentence, you may also skip it and move on to the next one.","ⵎⴽ ⴷ ⵓⵔ ⵜⵎⵙⴰⵙⴰ ⵜⵡⵉⵏⵙⵜ ⴷ ⵉⵙⴱⴷⴰⴷⵏ ⵏⵏⵉⴳ ⴷⴰ, ⴽⵍⵉⴽⵉ ⵅⴼ ⵓⴱⵔⴰ &quot;ⴰⴳⵢ&quot; ⴳ ⵓⵥⵍⵎⴰⴹ. ⵎⴽ ⵓⵔ ⵜⵃⵇⵇⴰⴷ ⴳ ⵜⵡⵉⵏⵙⵜ, ⵜⵖⵉⵢⴷ ⴰⵡⴷ ⴰⴷ ⵜⵜ ⵜⵙⵙⵉⵏⴼⴷ, ⵜⵎⵎⵓⵜⵜⵉⴷ ⵖⵔ ⵜⵓⴹⴼⵉⵕⵜ.","mk d ur tmsasa twinst d isbdadn nnig da, kliki khf ubra &quot;agy&quot; g uẓlmaḍ. mk ur tḥqqad g twinst, tghiyd awd ad tt tssinfd, tmmuttid ghr tuḍfiṛt.","مك د ور تمساسا توينست د يسبدادن ننيڭ دا, كليكي خف وبرا &quot;اڭي&quot; ڭ وزّلماض. مك ور تحققاد ڭ توينست, تغييد اود اد تت تسسينفد, تمموتتيد غر توضفيرت."
"Small businesses, including tech and AI start ups","ⵜⵉⵎⵙⵙⵏⵜⴰⵢ ⵜⵉⵎⵥⵥⵢⴰⵏⵉⵏ, ⴳⵉⵙⵏⵜ ⵜⵉⵎⵙⵙⵏⵜⴰⵢ ⵜⵉⵏⵓⴱⴰ ⵏ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⴷ ⵜⵉⵏ ⵜⵖⵉⵙⵜ ⵏ ⵜⵎⴰⵛⵉⵏⵜ","timssntay timẓẓyanin, gisnt timssntay tinuba n tetiknulujit d tin tghist n tmashint","تيمسسنتاي تيمزّزّيانين, ڭيسنت تيمسسنتاي تينوبا ن ت°تيكنولوجيت د تين تغيست ن تماشينت"
Loading your sentences…,ⴰⵣⴷⴰⵎ ⵏ ⵜⵡⵉⵏⴰⵙ ⵏⵏⵓⵏ…,azdam n twinas nnun…,ازدام ن تويناس ننون…
What issues are you experiencing with this sentence?,ⵎⴰⵏ ⵉⵎⵓⴽⵔⵉⵙⵏ ⴰⴷ ⵜⵓⴼⵉⴷ ⴰⴽⴷ ⵜⵡⵉⵏⵙⵜ ⴰ?,man imukrisn ad tufid akd twinst a?,مان يموكريسن اد توفيد اكد توينست ا?
Varying Pronunciations,ⵉⵙⵓⵙⵔⵓⵜⵏ ⵎⵣⴰⵔⴰⵢⵏⵉⵏ,isusrutn mzaraynin,يسوسروتن مزاراينين
Share the link to your file:,ⴱⴹⵓⵢⴰⵜ ⴰⵙⵖⵏ ⵖⵔ ⵓⴼⴰⵢⵍⵓ ⵏⵏⵓⵏ:,bḍuyat asghn ghr ufaylu nnun:,بضويات اسغن غر وفايلو ننون:
"Government proceedings, books and articles are also great however since the text tends to be a little more formal they are less of a priority.","ⴰⵡⴷ ⵉⵎⵓⵙⵙⵓⵜⵏ ⵏ ⵜⵏⴱⴰⴹⵜ, ⵉⴷⵍⵉⵙⵏ ⴷ ⵉⵎⴳⵔⴰⴷⵏ ⵥⵉⵍⵏ, ⵎⴰⵛⵛ ⴰⵍⵍⵉⴳ ⵉⵖⵉⵢ ⵓⴹⵕⵉⵚ ⴰⴷ ⵉⴳ ⴰⵍⵖⴰⵏ ⵓⴳⴳⴰⵔ ⵙ ⵢⴰⵏ ⵉⵎⵉⴽ, ⵓⵔ ⴱⴰⵀⵔⴰ ⵖⵓⵔⵙⵏ ⴰⵙⵉⵣⵡⵔ.","awd imussutn n tnbaḍt, idlisn d imgradn ẓiln, mashsh allig ighiy uḍṛiṣ ad ig alghan uggar s yan imik, ur bahra ghursn asizwr.","اود يموسسوتن ن تنباضت, يدليسن د يمڭرادن زّيلن, ماشش الليڭ يغيي وضريص اد يڭ الغان وڭڭار س يان يميك, ور باهرا غورسن اسيزور."
"The Clip Graveyard consists of voice clips that didn't make it into the Common Voice dataset. Just like the dataset, the Clip Graveyard is available for download.  We would like to thank the following people and organizations for their help with the project:","ⵉⴷⴷⵙ ⵓⵙⵎⴹⵍ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵙⴳ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ ⵏⵏⴰ ⵓⵔ ⵢⵓⴷⵉⴼⵏ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ. ⵉⵙⴰⴳⴰ ⵓⵙⵎⴹⵍ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵉ ⵡⴰⴳⴰⵎ, ⵣⵓⵏ ⴷ ⵏⵉⵜ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ.  ⵏⵔⴰ ⴰⴷ ⵏⵙⵏⵉⵎⵎⵔ ⵎⴷⴷⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⴰⴷ ⵅⴼ ⵜⵡⵉⵙⵉ ⵏⵏⵙⵏ ⴳ ⵓⵙⵏⴼⴰⵔ:","idds usmḍl n tussifin sg tussifin tigṛḍanin nna ur yudifn ghr tgrumma n isfka n kamnfuys. isaga usmḍl n tussifin i wagam, zun d nit tagrumma n isfka.  nra ad nsnimmr mddn d tmaddasin ad khf twisi nnsn g usnfar:","يددس وسمضل ن توسسيفين سڭ توسسيفين تيڭرضانين ننا ور يوديفن غر تڭرومما ن يسفكا ن كامنفويس. يساڭا وسمضل ن توسسيفين ي واڭام, زون د نيت تاڭرومما ن يسفكا.  نرا اد نسنيممر مددن د تمادداسين اد خف تويسي ننسن ڭ وسنفار:"
Rejected Sentences,ⵜⵉⵡⵉⵏⴰⵙ ⵜⵜⵢⴰⴳⴰⵢⵏⵉⵏ,tiwinas ttyagaynin,تيويناس تتياڭاينين
Filtered sentences due to requirements failing (please submit fixed versions as new sentences):,"ⵜⵉⵡⵉⵏⴰⵙ ⵜⵜⵓⴼⵔⵏⵏⵉⵏ ⵙ ⵓⵙⵔⴰⴳ ⵏ ⵓⵙⴼⵓⴳⴳⵔ ⵏ ⵉⵙⴱⴷⴰⴷⵏ (ⵎⴽ ⵜⵓⴼⵉⴷ, ⴰⵣⵏ ⵜⵉⵍⵇⵇⴰⵎ ⵓⵖⴷⵏⵉⵏ ⴰⵎ ⵜⵡⵉⵏⴰⵙ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ):","tiwinas ttufrnnin s usrag n usfuggr n isbdadn (mk tufid, azn tilqqam ughdnin am twinas timaynutin):","تيويناس تتوفرننين س وسراڭ ن وسفوڭڭر ن يسبدادن (مك توفيد, ازن تيلققام وغدنين ام تويناس تيماينوتين):"
Build Profile,ⵥⴽⵓ ⵉⴼⵔⵙ,ẓku ifrs,زّكو يفرس
Quechua Chanka,ⵜⴰⴽⵉⵜⵛⵡⴰⵜ ⵜⴰⵜⵛⴰⵏⴽⴰⵜ,takitshwat tatshankat,تاكيتشوات تاتشانكات
Become a Common Voice Partner,ⴷⵡⵍ ⴷ ⴰⵎⵛⵛⵔⴽ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ,dwl d amshshrk n kamnfuys,دول د امششرك ن كامنفويس
*required,*ⵉⵇⵇⴰⵏ ⴷ,*iqqan d,*يققان د
The website text is translated into that language.,ⵍⴰ ⵉⵜⵜⵇⵇⵍ ⵓⴹⵕⵉⵚ ⵏ ⵓⵙⵉⵜⵡⵉⴱ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⴰ.,la ittqql uḍṛiṣ n usitwib s tutlayt a.,لا يتتققل وضريص ن وسيتويب س توتلايت ا.
Copy the link to open in another browser,ⵙⵙⵏⵖⵍⴰⵜ ⴰⵙⵖⵏ ⴰⴼⴰⴷ ⴰⴷ ⵜ ⵜⵕⵥⵎⵎ ⴳ ⴽⵔⴰ ⵏ ⵓⵎⵙⵙⴰⵔⴰ ⵢⴰⴹⵏ,ssnghlat asghn afad ad t tṛẓmm g kra n umssara yaḍn,سسنغلات اسغن افاد اد ت ترزّمم ڭ كرا ن ومسسارا ياضن
"Sign up for Common Voice newsletters, goal reminders and progress updates","ⵣⵎⵎⴻⵎ ⴳ ⵜⴱⵔⴰⵜⵉⵏ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ, ⴰⵙⴽⵜⵉ ⵙ ⵉⵡⵜⵜⴰⵙⵏ ⴷ ⵉⵙⴷⵖⵉⵜⵏ ⵏ ⵡⴰⵍⴰⵢ","zmmem g tbratin n inghmisn n kamnfuys, askti s iwttasn d isdghitn n walay","زمم°م ڭ تبراتين ن ينغميسن ن كامنفويس, اسكتي س يوتتاسن د يسدغيتن ن والاي"
Bulgarian,ⵜⴰⴱⵍⴳⴰⵕⵉⵜ,tablgaṛit,تابلڭاريت
See Less,ⵥⵕ ⴷⵔⵓⵙ,ẓṛ drus,زّر دروس
Glossary,ⵜⴰⵎⴰⵡⴰⵍⵜ,tamawalt,تاماوالت
sign,ⵙⴳⵎⴹ,sgmḍ,سڭمض
authenticate,ⵙⵖⵣⵏ,sghzn,سغزن
[More has been recorded than the required text],[ⵉⵜⵜⵓⵙⵓⵙⵔ ⵡⵓⴳⴳⴰⵔ ⵏ ⵓⴹⵕⵉⵚ ⴷ ⵉⵇⵇⴰⵏⵏ],[ittususr wuggar n uḍṛiṣ d iqqann],[يتتوسوسر ووڭڭار ن وضريص د يققانن]
